,Energy_Price,Unit_Of_Measure,Date,Energy_ID,Energy_Type
0,29.6,Cents per litre,1990-01,1,Electricity
1,31.5,Cents per litre,1990-02,1,Electricity
2,32.1,Cents per litre,1990-03,1,Electricity
3,32.1,Cents per litre,1990-04,1,Electricity
4,32.1,Cents per litre,1990-05,1,Electricity
5,32.1,Cents per litre,1990-06,1,Electricity
6,32.1,Cents per litre,1990-07,1,Electricity
7,32.1,Cents per litre,1990-08,1,Electricity
8,32.1,Cents per litre,1990-09,1,Electricity
9,32.1,Cents per litre,1990-10,1,Electricity
10,39.0,Cents per litre,1990-11,1,Electricity
11,43.0,Cents per litre,1990-12,1,Electricity
12,46.0,Cents per litre,1991-01,1,Electricity
13,43.0,Cents per litre,1991-02,1,Electricity
14,39.9,Cents per litre,1991-03,1,Electricity
15,34.9,Cents per litre,1991-04,1,Electricity
16,34.9,Cents per litre,1991-05,1,Electricity
17,34.9,Cents per litre,1991-06,1,Electricity
18,34.9,Cents per litre,1991-07,1,Electricity
19,34.9,Cents per litre,1991-08,1,Electricity
20,34.9,Cents per litre,1991-09,1,Electricity
21,34.9,Cents per litre,1991-10,1,Electricity
22,36.5,Cents per litre,1991-11,1,Electricity
23,36.5,Cents per litre,1991-12,1,Electricity
24,36.5,Cents per litre,1992-01,1,Electricity
25,36.5,Cents per litre,1992-02,1,Electricity
26,36.5,Cents per litre,1992-03,1,Electricity
27,36.5,Cents per litre,1992-04,1,Electricity
28,36.5,Cents per litre,1992-05,1,Electricity
29,36.5,Cents per litre,1992-06,1,Electricity
30,36.5,Cents per litre,1992-07,1,Electricity
31,36.5,Cents per litre,1992-08,1,Electricity
32,36.5,Cents per litre,1992-09,1,Electricity
33,36.5,Cents per litre,1992-10,1,Electricity
34,36.5,Cents per litre,1992-11,1,Electricity
35,36.5,Cents per litre,1992-12,1,Electricity
36,36.5,Cents per litre,1993-01,1,Electricity
37,36.5,Cents per litre,1993-02,1,Electricity
38,36.5,Cents per litre,1993-03,1,Electricity
39,36.5,Cents per litre,1993-04,1,Electricity
40,36.5,Cents per litre,1993-05,1,Electricity
41,36.5,Cents per litre,1993-06,1,Electricity
42,36.5,Cents per litre,1993-07,1,Electricity
43,36.5,Cents per litre,1993-08,1,Electricity
44,36.5,Cents per litre,1993-09,1,Electricity
45,36.5,Cents per litre,1993-10,1,Electricity
46,36.5,Cents per litre,1993-11,1,Electricity
47,36.5,Cents per litre,1993-12,1,Electricity
48,36.5,Cents per litre,1994-01,1,Electricity
49,36.5,Cents per litre,1994-02,1,Electricity
50,33.3,Cents per litre,1994-03,1,Electricity
51,33.3,Cents per litre,1994-04,1,Electricity
52,33.3,Cents per litre,1994-05,1,Electricity
53,33.3,Cents per litre,1994-06,1,Electricity
54,33.3,Cents per litre,1994-07,1,Electricity
55,33.3,Cents per litre,1994-08,1,Electricity
56,33.3,Cents per litre,1994-09,1,Electricity
57,33.3,Cents per litre,1994-10,1,Electricity
58,33.3,Cents per litre,1994-11,1,Electricity
59,33.3,Cents per litre,1994-12,1,Electricity
60,33.4,Cents per litre,1995-01,1,Electricity
61,33.4,Cents per litre,1995-02,1,Electricity
62,34.4,Cents per litre,1995-03,1,Electricity
63,34.4,Cents per litre,1995-04,1,Electricity
64,34.4,Cents per litre,1995-05,1,Electricity
65,34.4,Cents per litre,1995-06,1,Electricity
66,34.4,Cents per litre,1995-07,1,Electricity
67,34.4,Cents per litre,1995-08,1,Electricity
68,34.4,Cents per litre,1995-09,1,Electricity
69,33.4,Cents per litre,1995-10,1,Electricity
70,33.4,Cents per litre,1995-11,1,Electricity
71,33.5,Cents per litre,1995-12,1,Electricity
72,35.7,Cents per litre,1996-01,1,Electricity
73,36.4,Cents per litre,1996-02,1,Electricity
74,36.7,Cents per litre,1996-03,1,Electricity
75,36.7,Cents per litre,1996-04,1,Electricity
76,37.3,Cents per litre,1996-05,1,Electricity
77,37.3,Cents per litre,1996-06,1,Electricity
78,37.3,Cents per litre,1996-07,1,Electricity
79,37.3,Cents per litre,1996-08,1,Electricity
80,38.2,Cents per litre,1996-09,1,Electricity
81,41.0,Cents per litre,1996-10,1,Electricity
82,43.2,Cents per litre,1996-11,1,Electricity
83,44.6,Cents per litre,1996-12,1,Electricity
84,44.8,Cents per litre,1997-01,1,Electricity
85,44.8,Cents per litre,1997-02,1,Electricity
86,42.6,Cents per litre,1997-03,1,Electricity
87,45.0,Cents per litre,1997-04,1,Electricity
88,43.1,Cents per litre,1997-05,1,Electricity
89,43.1,Cents per litre,1997-06,1,Electricity
90,43.1,Cents per litre,1997-07,1,Electricity
91,43.1,Cents per litre,1997-08,1,Electricity
92,41.2,Cents per litre,1997-09,1,Electricity
93,40.9,Cents per litre,1997-10,1,Electricity
94,40.9,Cents per litre,1997-11,1,Electricity
95,40.9,Cents per litre,1997-12,1,Electricity
96,40.4,Cents per litre,1998-01,1,Electricity
97,39.3,Cents per litre,1998-02,1,Electricity
98,36.9,Cents per litre,1998-03,1,Electricity
99,36.8,Cents per litre,1998-04,1,Electricity
100,36.8,Cents per litre,1998-05,1,Electricity
101,36.8,Cents per litre,1998-06,1,Electricity
102,36.8,Cents per litre,1998-07,1,Electricity
103,36.8,Cents per litre,1998-08,1,Electricity
104,36.8,Cents per litre,1998-09,1,Electricity
105,36.2,Cents per litre,1998-10,1,Electricity
106,34.7,Cents per litre,1998-11,1,Electricity
107,34.3,Cents per litre,1998-12,1,Electricity
108,33.9,Cents per litre,1999-01,1,Electricity
109,33.9,Cents per litre,1999-02,1,Electricity
110,32.0,Cents per litre,1999-03,1,Electricity
111,37.3,Cents per litre,1999-04,1,Electricity
112,36.6,Cents per litre,1999-05,1,Electricity
113,36.6,Cents per litre,1999-06,1,Electricity
114,36.6,Cents per litre,1999-07,1,Electricity
115,39.2,Cents per litre,1999-08,1,Electricity
116,42.8,Cents per litre,1999-09,1,Electricity
117,44.3,Cents per litre,1999-10,1,Electricity
118,44.9,Cents per litre,1999-11,1,Electricity
119,48.2,Cents per litre,1999-12,1,Electricity
120,49.0,Cents per litre,2000-01,1,Electricity
121,60.5,Cents per litre,2000-02,1,Electricity
122,57.0,Cents per litre,2000-03,1,Electricity
123,50.9,Cents per litre,2000-04,1,Electricity
124,50.9,Cents per litre,2000-05,1,Electricity
125,50.9,Cents per litre,2000-06,1,Electricity
126,50.9,Cents per litre,2000-07,1,Electricity
127,50.9,Cents per litre,2000-08,1,Electricity
128,60.1,Cents per litre,2000-09,1,Electricity
129,62.0,Cents per litre,2000-10,1,Electricity
130,62.4,Cents per litre,2000-11,1,Electricity
131,67.5,Cents per litre,2000-12,1,Electricity
132,59.2,Cents per litre,2001-01,1,Electricity
133,57.8,Cents per litre,2001-02,1,Electricity
134,56.4,Cents per litre,2001-03,1,Electricity
135,56.3,Cents per litre,2001-04,1,Electricity
136,56.7,Cents per litre,2001-05,1,Electricity
137,56.7,Cents per litre,2001-06,1,Electricity
138,56.7,Cents per litre,2001-07,1,Electricity
139,56.7,Cents per litre,2001-08,1,Electricity
140,53.2,Cents per litre,2001-09,1,Electricity
141,51.3,Cents per litre,2001-10,1,Electricity
142,49.0,Cents per litre,2001-11,1,Electricity
143,46.3,Cents per litre,2001-12,1,Electricity
144,45.7,Cents per litre,2002-01,1,Electricity
145,47.1,Cents per litre,2002-02,1,Electricity
146,49.4,Cents per litre,2002-03,1,Electricity
147,53.2,Cents per litre,2002-04,1,Electricity
148,53.2,Cents per litre,2002-05,1,Electricity
149,53.2,Cents per litre,2002-06,1,Electricity
150,53.2,Cents per litre,2002-07,1,Electricity
151,53.2,Cents per litre,2002-08,1,Electricity
152,56.6,Cents per litre,2002-09,1,Electricity
153,57.8,Cents per litre,2002-10,1,Electricity
154,58.9,Cents per litre,2002-11,1,Electricity
155,58.2,Cents per litre,2002-12,1,Electricity
156,62.8,Cents per litre,2003-01,1,Electricity
157,71.0,Cents per litre,2003-02,1,Electricity
158,79.2,Cents per litre,2003-03,1,Electricity
159,70.4,Cents per litre,2003-04,1,Electricity
160,57.8,Cents per litre,2003-05,1,Electricity
161,57.8,Cents per litre,2003-06,1,Electricity
162,57.8,Cents per litre,2003-07,1,Electricity
163,57.8,Cents per litre,2003-08,1,Electricity
164,54.7,Cents per litre,2003-09,1,Electricity
165,54.7,Cents per litre,2003-10,1,Electricity
166,54.7,Cents per litre,2003-11,1,Electricity
167,58.3,Cents per litre,2003-12,1,Electricity
168,62.6,Cents per litre,2004-01,1,Electricity
169,63.7,Cents per litre,2004-02,1,Electricity
170,62.6,Cents per litre,2004-03,1,Electricity
171,63.6,Cents per litre,2004-04,1,Electricity
172,68.4,Cents per litre,2004-05,1,Electricity
173,68.4,Cents per litre,2004-06,1,Electricity
174,68.4,Cents per litre,2004-07,1,Electricity
175,68.4,Cents per litre,2004-08,1,Electricity
176,70.4,Cents per litre,2004-09,1,Electricity
177,71.9,Cents per litre,2004-10,1,Electricity
178,78.5,Cents per litre,2004-11,1,Electricity
179,74.6,Cents per litre,2004-12,1,Electricity
180,74.6,Cents per litre,2005-01,1,Electricity
181,75.8,Cents per litre,2005-02,1,Electricity
182,80.4,Cents per litre,2005-03,1,Electricity
183,81.9,Cents per litre,2005-04,1,Electricity
184,81.5,Cents per litre,2005-05,1,Electricity
185,81.5,Cents per litre,2005-06,1,Electricity
186,81.5,Cents per litre,2005-07,1,Electricity
187,81.5,Cents per litre,2005-08,1,Electricity
188,92.7,Cents per litre,2005-09,1,Electricity
189,96.1,Cents per litre,2005-10,1,Electricity
190,91.9,Cents per litre,2005-11,1,Electricity
191,84.2,Cents per litre,2005-12,1,Electricity
192,88.8,Cents per litre,2006-01,1,Electricity
193,88.4,Cents per litre,2006-02,1,Electricity
194,85.4,Cents per litre,2006-03,1,Electricity
195,90.0,Cents per litre,2006-04,1,Electricity
196,95.0,Cents per litre,2006-05,1,Electricity
197,95.0,Cents per litre,2006-06,1,Electricity
198,94.1,Cents per litre,2006-07,1,Electricity
199,94.1,Cents per litre,2006-08,1,Electricity
200,89.2,Cents per litre,2006-09,1,Electricity
201,80.9,Cents per litre,2006-10,1,Electricity
202,78.6,Cents per litre,2006-11,1,Electricity
203,75.5,Cents per litre,2006-12,1,Electricity
204,78.0,Cents per litre,2007-01,1,Electricity
205,79.1,Cents per litre,2007-02,1,Electricity
206,81.5,Cents per litre,2007-03,1,Electricity
207,83.6,Cents per litre,2007-04,1,Electricity
208,83.6,Cents per litre,2007-05,1,Electricity
209,83.6,Cents per litre,2007-06,1,Electricity
210,83.6,Cents per litre,2007-07,1,Electricity
211,83.6,Cents per litre,2007-08,1,Electricity
212,83.7,Cents per litre,2007-09,1,Electricity
213,83.7,Cents per litre,2007-10,1,Electricity
214,88.2,Cents per litre,2007-11,1,Electricity
215,96.0,Cents per litre,2007-12,1,Electricity
216,99.3,Cents per litre,2008-01,1,Electricity
217,98.3,Cents per litre,2008-02,1,Electricity
218,100.7,Cents per litre,2008-03,1,Electricity
219,110.9,Cents per litre,2008-04,1,Electricity
220,116.8,Cents per litre,2008-05,1,Electricity
221,116.8,Cents per litre,2008-06,1,Electricity
222,116.8,Cents per litre,2008-07,1,Electricity
223,116.8,Cents per litre,2008-08,1,Electricity
224,117.9,Cents per litre,2008-09,1,Electricity
225,109.1,Cents per litre,2008-10,1,Electricity
226,89.7,Cents per litre,2008-11,1,Electricity
227,83.0,Cents per litre,2008-12,1,Electricity
228,77.3,Cents per litre,2009-01,1,Electricity
229,71.8,Cents per litre,2009-02,1,Electricity
230,68.0,Cents per litre,2009-03,1,Electricity
231,74.6,Cents per litre,2009-04,1,Electricity
232,71.1,Cents per litre,2009-05,1,Electricity
233,71.1,Cents per litre,2009-06,1,Electricity
234,71.1,Cents per litre,2009-07,1,Electricity
235,71.1,Cents per litre,2009-08,1,Electricity
236,77.2,Cents per litre,2009-09,1,Electricity
237,73.9,Cents per litre,2009-10,1,Electricity
238,82.5,Cents per litre,2009-11,1,Electricity
239,82.5,Cents per litre,2009-12,1,Electricity
240,86.3,Cents per litre,2010-01,1,Electricity
241,83.2,Cents per litre,2010-02,1,Electricity
242,83.2,Cents per litre,2010-03,1,Electricity
243,84.6,Cents per litre,2010-04,1,Electricity
244,84.6,Cents per litre,2010-05,1,Electricity
245,84.6,Cents per litre,2010-06,1,Electricity
246,84.6,Cents per litre,2010-07,1,Electricity
247,84.6,Cents per litre,2010-08,1,Electricity
248,84.6,Cents per litre,2010-09,1,Electricity
249,86.0,Cents per litre,2010-10,1,Electricity
250,87.0,Cents per litre,2010-11,1,Electricity
251,90.2,Cents per litre,2010-12,1,Electricity
252,95.4,Cents per litre,2011-01,1,Electricity
253,99.2,Cents per litre,2011-02,1,Electricity
254,107.7,Cents per litre,2011-03,1,Electricity
255,111.7,Cents per litre,2011-04,1,Electricity
256,108.9,Cents per litre,2011-05,1,Electricity
257,108.9,Cents per litre,2011-06,1,Electricity
258,108.9,Cents per litre,2011-07,1,Electricity
259,108.9,Cents per litre,2011-08,1,Electricity
260,106.5,Cents per litre,2011-09,1,Electricity
261,106.0,Cents per litre,2011-10,1,Electricity
262,109.0,Cents per litre,2011-11,1,Electricity
263,111.3,Cents per litre,2011-12,1,Electricity
264,112.9,Cents per litre,2012-01,1,Electricity
265,113.4,Cents per litre,2012-02,1,Electricity
266,115.6,Cents per litre,2012-03,1,Electricity
267,114.7,Cents per litre,2012-04,1,Electricity
268,111.1,Cents per litre,2012-05,1,Electricity
269,111.1,Cents per litre,2012-06,1,Electricity
270,111.1,Cents per litre,2012-07,1,Electricity
271,111.1,Cents per litre,2012-08,1,Electricity
272,109.6,Cents per litre,2012-09,1,Electricity
273,110.9,Cents per litre,2012-10,1,Electricity
274,112.6,Cents per litre,2012-11,1,Electricity
275,112.6,Cents per litre,2012-12,1,Electricity
276,112.4,Cents per litre,2013-01,1,Electricity
277,118.7,Cents per litre,2013-02,1,Electricity
278,118.8,Cents per litre,2013-03,1,Electricity
279,115.1,Cents per litre,2013-04,1,Electricity
280,110.6,Cents per litre,2013-05,1,Electricity
281,109.5,Cents per litre,2013-06,1,Electricity
282,112.4,Cents per litre,2013-07,1,Electricity
283,112.4,Cents per litre,2013-08,1,Electricity
284,114.3,Cents per litre,2013-09,1,Electricity
285,113.6,Cents per litre,2013-10,1,Electricity
286,115.7,Cents per litre,2013-11,1,Electricity
287,118.9,Cents per litre,2013-12,1,Electricity
288,125.0,Cents per litre,2014-01,1,Electricity
289,130.8,Cents per litre,2014-02,1,Electricity
290,132.2,Cents per litre,2014-03,1,Electricity
291,131.0,Cents per litre,2014-04,1,Electricity
292,129.3,Cents per litre,2014-05,1,Electricity
293,128.7,Cents per litre,2014-06,1,Electricity
294,127.3,Cents per litre,2014-07,1,Electricity
295,125.5,Cents per litre,2014-08,1,Electricity
296,124.5,Cents per litre,2014-09,1,Electricity
297,121.3,Cents per litre,2014-10,1,Electricity
298,117.9,Cents per litre,2014-11,1,Electricity
299,113.6,Cents per litre,2014-12,1,Electricity
300,103.4,Cents per litre,2015-01,1,Electricity
301,104.2,Cents per litre,2015-02,1,Electricity
302,116.5,Cents per litre,2015-03,1,Electricity
303,106.3,Cents per litre,2015-04,1,Electricity
304,102.1,Cents per litre,2015-05,1,Electricity
305,101.8,Cents per litre,2015-06,1,Electricity
306,101.8,Cents per litre,2015-07,1,Electricity
307,94.0,Cents per litre,2015-08,1,Electricity
308,89.8,Cents per litre,2015-09,1,Electricity
309,93.0,Cents per litre,2015-10,1,Electricity
310,90.4,Cents per litre,2015-11,1,Electricity
311,88.3,Cents per litre,2015-12,1,Electricity
312,84.1,Cents per litre,2016-01,1,Electricity
